Player_Name,Season,Total_Minutes,FG,FGA,FT,FTA,TRB,AST,PTS,PTOV,SFD,PGA,AND1,PER,TS%,USG%,WS,BPM,VORP,ORtg
Jarrett Allen  ,2019,0.6482051282,0.3482142857,0.2763157895,0.2551020408,0.2845528455,0.5128205128,0.1196581197,0.3009118541,0.1563786008,0.3246753247,0.1444730077,0.2095238095,0.5421686747,0.824742268,0.2048611111,0.5243243243,0.5578947368,0.3823529412,0.6470588235
Jarrett Allen  ,2018,0.4242735043,0.2678571429,0.2061403509,0.1632653061,0.162601626,0.3205128205,0.05982905983,0.2188449848,0.1152263374,0.1844155844,0.0616966581,0.1047619048,0.5020080321,0.8350515464,0.21875,0.3405405405,0.4315789474,0.2450980392,0.5882352941
Kadeem Allen  ,2019,0.07384615385,0.2767857143,0.2894736842,0.2244897959,0.2276422764,0.1474358974,0.3418803419,0.2705167173,0.05349794239,0.05714285714,0.09511568123,0.009523809524,0.4497991968,0.675257732,0.3333333333,0.1675675676,0.5,0.2254901961,0.5441176471
Lavoy Allen  ,2017,0.2294017094,0.08928571429,0.08771929825,0.04081632653,0.0406504065,0.2051282051,0.07692307692,0.05775075988,0.07407407407,0.02857142857,0.06838046272,0.02857142857,0.265060241,0.4458762887,0.03125,0.2054054054,0.3842105263,0.2058823529,0.5147058824
Lavoy Allen  ,2016,0.4782905983,0.1875,0.1710526316,0.0612244898,0.07317073171,0.3205128205,0.08547008547,0.1337386018,0.1604938272,0.08311688312,0.09305912596,0.06666666667,0.297188755,0.5670103093,0.1041666667,0.3135135135,0.3894736842,0.2156862745,0.4558823529
Lavoy Allen  ,2015,0.2974358974,0.1696428571,0.1710526316,0.05102040816,0.05691056911,0.3012820513,0.1025641026,0.1215805471,0.07407407407,0.04415584416,0.08586118252,0.02857142857,0.3975903614,0.4664948454,0.1805555556,0.2648648649,0.4736842105,0.2549019608,0.4411764706
Lavoy Allen  ,2014,0.2981196581,0.1607142857,0.1666666667,0.05102040816,0.06504065041,0.2820512821,0.09401709402,0.1124620061,0.08230452675,0.04155844156,0.0853470437,0.01904761905,0.3012048193,0.4072164948,0.1597222222,0.1945945946,0.2894736842,0.1568627451,0.3676470588
Ray Allen  ,2014,0.5935042735,0.2678571429,0.2894736842,0.1428571429,0.1300813008,0.1538461538,0.1709401709,0.2613981763,0.1810699588,0.07012987013,0.1753213368,0.06666666667,0.313253012,0.7164948454,0.2361111111,0.3351351351,0.4526315789,0.2745098039,0.4705882353
Tony Allen  ,2018,0.02495726496,0.1517857143,0.1447368421,0.05102040816,0.08130081301,0.108974359,0.03418803419,0.1124620061,0.04115226337,0.02857142857,0.009254498715,0.009523809524,0.1485943775,0.5206185567,0.3090277778,0.1189189189,0.1842105263,0.1764705882,0.2352941176
Tony Allen  ,2017,0.585982906,0.3214285714,0.3333333333,0.112244898,0.1463414634,0.3269230769,0.1196581197,0.2462006079,0.2016460905,0.1532467532,0.1089974293,0.1238095238,0.3333333333,0.4664948454,0.2743055556,0.2810810811,0.4210526316,0.2450980392,0.3235294118
Tony Allen  ,2016,0.4854700855,0.2767857143,0.2850877193,0.1428571429,0.1788617886,0.2692307692,0.09401709402,0.2249240122,0.1399176955,0.1662337662,0.0766066838,0.1333333333,0.3172690763,0.4974226804,0.2361111111,0.2432432432,0.4210526316,0.2352941176,0.3235294118
Tony Allen  ,2015,0.495042735,0.2946428571,0.2807017544,0.1326530612,0.162601626,0.2564102564,0.1196581197,0.2310030395,0.1399176955,0.1454545455,0.09460154242,0.1333333333,0.3855421687,0.5567010309,0.2291666667,0.3351351351,0.5578947368,0.3431372549,0.3529411765
Tony Allen  ,2014,0.3685470085,0.3035714286,0.2938596491,0.1428571429,0.1788617886,0.2179487179,0.1452991453,0.2431610942,0.1769547325,0.1558441558,0.1028277635,0.1428571429,0.4257028112,0.5644329897,0.3506944444,0.2594594595,0.5263157895,0.2941176471,0.3382352941
Jose Alvarado  ,2024,0.2830769231,0.1964285714,0.2368421053,0.0612244898,0.07317073171,0.1217948718,0.1794871795,0.1854103343,0.1028806584,0.04935064935,0.1403598972,0.009523809524,0.3012048193,0.587628866,0.2534722222,0.227027027,0.4684210526,0.2450980392,0.4852941176
Jose Alvarado  ,2023,0.3794871795,0.2678571429,0.3157894737,0.112244898,0.1056910569,0.1217948718,0.2564102564,0.2431610942,0.1893004115,0.08571428571,0.2200514139,0.04761904762,0.2730923695,0.5489690722,0.3402777778,0.2108108108,0.4105263158,0.2254901961,0.4117647059
Jose Alvarado  ,2022,0.2167521368,0.1875,0.201754386,0.07142857143,0.08130081301,0.09615384615,0.2393162393,0.1550151976,0.1069958848,0.05194805195,0.1809768638,0.0380952381,0.4578313253,0.5360824742,0.2916666667,0.227027027,0.5736842105,0.2745098039,0.5147058824
Al-Farouq Aminu  ,2021,0.08,0.125,0.1535087719,0.08163265306,0.08130081301,0.2820512821,0.1111111111,0.103343465,0.06172839506,0.03116883117,0.03753213368,0.05714285714,0.156626506,0.4046391753,0.125,0.1189189189,0.2736842105,0.1764705882,0.1764705882
Al-Farouq Aminu  ,2020,0.06153846154,0.09821428571,0.1754385965,0.112244898,0.1300813008,0.2820512821,0.1025641026,0.1003039514,0.02880658436,0.03636363636,0.02262210797,0.009523809524,0.1044176707,0.2139175258,0.1111111111,0.1189189189,0.3157894737,0.1862745098,0.1323529412
Al-Farouq Aminu  ,2019,0.7152136752,0.2589285714,0.2850877193,0.193877551,0.1707317073,0.4551282051,0.1111111111,0.2553191489,0.1193415638,0.187012987,0.123907455,0.1238095238,0.3293172691,0.6597938144,0.1284722222,0.427027027,0.5105263158,0.3431372549,0.5735294118
